FISCAL YEAR,SCOPE,BANK,MONTH,WEIGHT
FY2026-27,OVERALL,,2026-04,0.0833333333333333
FY2026-27,OVERALL,,2026-05,0.0833333333333333
FY2026-27,OVERALL,,2026-06,0.0833333333333333
FY2026-27,OVERALL,,2026-07,0.0833333333333333
FY2026-27,OVERALL,,2026-08,0.0833333333333333
FY2026-27,OVERALL,,2026-09,0.0833333333333333
FY2026-27,OVERALL,,2026-10,0.0833333333333333
FY2026-27,OVERALL,,2026-11,0.0833333333333333
FY2026-27,OVERALL,,2026-12,0.0833333333333333
FY2026-27,OVERALL,,2027-01,0.0833333333333333
FY2026-27,OVERALL,,2027-02,0.0833333333333333
FY2026-27,OVERALL,,2027-03,0.0833333333333337
FY2026-27,BANK,INDIAN BANK,2026-04,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-05,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-06,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-07,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-08,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-09,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-10,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-11,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2026-12,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2027-01,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2027-02,0.0833333333333333
FY2026-27,BANK,INDIAN BANK,2027-03,0.0833333333333337
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-04,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-05,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-06,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-07,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-08,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-09,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-10,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-11,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2026-12,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2027-01,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2027-02,0.0833333333333333
FY2026-27,BANK,INDIAN OVERSEAS BANK,2027-03,0.0833333333333337
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-04,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-05,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-06,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-07,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-08,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-09,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-10,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-11,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2026-12,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2027-01,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2027-02,0.0833333333333333
FY2026-27,BANK,KARNATAKA BANK LTD.,2027-03,0.0833333333333337
