RM Name,Zone,Target,Achieved,% Achievement,Activation %,Product Mix %,Persistency %,Digital %,BPI Score,Multiplier,Quality Factor,Final Incentive (Tapered),Gap to Next Achievement Slab,AI Insight
RM_001,North,600000,491999,82,64,60,75,77,74,0.6,0.75,2657,108001,Strong Performance
RM_002,South,750000,735000,98,59,46,77,75,79,0.6,0.75,3969,15000,Activate More Branches
RM_003,East,750000,450000,60,59,48,67,60,59,0.3,1,1620,150000,Increase Premium Achievement
RM_004,West,900000,774000,86,63,53,74,68,74,0.6,0.9,5016,126000,Strong Performance
RM_005,East,900000,630000,70,39,39,63,65,58,0.3,0.9,2041,90000,Increase Premium Achievement
RM_006,West,600000,360000,60,49,41,64,53,55,0.3,1,1296,120000,Increase Premium Achievement
RM_007,East,900000,747000,83,57,55,79,72,73,0.6,1,5378,153000,Activate More Branches
RM_008,West,600000,576000,96,58,46,85,77,79,0.6,1,4147,24000,Activate More Branches
RM_009,North,750000,562500,75,49,43,63,52,63,0.6,1,4050,37500,Increase Premium Achievement
RM_010,South,600000,576000,96,59,61,80,74,81,1,0.75,5184,24000,Activate More Branches
RM_011,West,600000,738000,123,90,80,95,91,106,1.5,0.9,11956,102000,Strong Performance
RM_012,East,900000,1107000,123,74,86,87,94,103,1.5,0.75,14944,153000,Strong Performance
RM_013,East,900000,549000,61,41,36,69,47,53,0.3,0.9,1779,171000,Increase Premium Achievement
RM_014,West,900000,738000,82,58,53,72,69,71,0.6,0.9,4782,162000,Activate More Branches
RM_015,North,750000,960000,128,80,66,86,96,103,1.5,0.75,12960,90000,Strong Performance
RM_016,South,900000,521999,58,35,34,70,66,51,0.3,0.9,1691,198001,Increase Premium Achievement
RM_017,South,750000,630000,84,64,46,75,79,73,0.6,0.9,4082,120000,Improve Product Mix
RM_018,North,750000,735000,98,75,56,84,77,85,1,0.75,6615,15000,Strong Performance
RM_019,West,600000,558000,93,58,54,71,73,77,0.6,1,4018,42000,Activate More Branches
RM_020,West,750000,652500,87,73,51,84,73,78,0.6,1,4698,97500,Strong Performance
RM_021,North,600000,827999,138,71,89,83,81,109,1.5,0.75,11178,12001,Strong Performance
RM_022,North,600000,594000,99,59,45,72,68,79,0.6,0.75,3208,6000,Activate More Branches
RM_023,North,900000,891000,99,64,50,76,77,81,1,0.75,8019,9000,Strong Performance
RM_024,West,600000,594000,99,57,46,75,79,79,0.6,0.9,3849,6000,Activate More Branches
RM_025,North,900000,468000,52,50,46,60,61,52,0.3,0.9,1516,252000,Increase Premium Achievement
RM_026,North,900000,1251000,139,79,73,86,89,109,1.5,0.9,20266,9000,Strong Performance
RM_027,South,750000,720000,96,57,64,80,82,81,1,0.75,6480,30000,Activate More Branches
RM_028,West,750000,630000,84,65,58,79,83,76,0.6,0.9,4082,120000,Strong Performance
RM_029,West,750000,727500,97,67,51,74,84,81,1,0.9,7857,22500,Strong Performance
RM_030,South,600000,570000,95,66,58,75,75,81,1,0.9,6156,30000,Strong Performance
RM_031,North,750000,390000,52,55,34,73,61,52,0.3,0.9,1264,210000,Increase Premium Achievement
RM_032,West,900000,891000,99,57,59,77,80,81,1,0.75,8019,9000,Activate More Branches
RM_033,East,900000,846000,94,64,45,74,73,78,0.6,1,6091,54000,Improve Product Mix
RM_034,East,900000,585000,65,47,38,64,62,57,0.3,0.9,1895,135000,Increase Premium Achievement
RM_035,South,900000,801000,89,61,50,81,71,76,0.6,0.75,4325,99000,Strong Performance
RM_036,North,600000,312000,52,47,43,75,56,52,0.3,0.9,1011,168000,Increase Premium Achievement
RM_037,North,600000,696000,116,79,69,91,82,97,1,1,8352,24000,Strong Performance
RM_038,East,900000,495000,55,59,41,70,43,55,0.3,1,1782,225000,Increase Premium Achievement
RM_039,North,750000,675000,90,62,64,74,82,79,0.6,1,4860,75000,Strong Performance
RM_040,North,750000,675000,90,67,59,72,81,79,0.6,0.9,4374,75000,Strong Performance
RM_041,West,600000,491999,82,70,57,82,70,75,0.6,0.75,2657,108001,Strong Performance
RM_042,North,750000,735000,98,61,57,76,76,81,1,1,8820,15000,Strong Performance
RM_043,North,600000,558000,93,60,47,74,76,77,0.6,1,4018,42000,Improve Product Mix
RM_044,West,750000,667500,89,67,51,73,79,77,0.6,0.75,3604,82500,Strong Performance
