RM_ID,RM_Name,Region,Target_Lakhs,Fresh_Lakhs,Renewal_Lakhs,Focus_Lakhs,Target_GWP,Achieved_GWP,Annual_Points,Loss_Ratio,Renewal_Rate,Adjusted Premium,Adjusted Achievement %,Base Incentive Pool,Elevate Payout Multiplier,Final Elevate Incentive (Lakhs),Legacy Base PLI (Lakhs),PDF Consistency Booster Tier,Final Legacy PDF Incentive (Lakhs)
RZ1289,RM1,NORTH,700000,155391,270928,18000,0.07,0.04,12,70,69.1,492167,0.7,10500,0.5,5250,0.1,0.1,0.1
RZ1464,RM2,SOUTH 2,2010000,973550.5763,881094.67,0,0.2,0.19,6,70,89.4,2098033,1.04,30150,1.1,33165,0.2,0,0.2
RZ1495,RM3,NORTH,1531000,183916,167703,14900,0.15,0.04,28,70,77.3,419948,0.27,22965,0,0,0,0.2,0
RZ1505,RM4,NORTH,956000,214966.9153,691801,4320,0.1,0.09,16,70,105.4,966990,1.01,14340,1.1,15774,0.1,0.1,0.1
RZ1548,RM5,NORTH,1558000,925553.7288,270842,22200,0.16,0.12,4,70,41.6,1461084,0.94,23370,0.8,18696,0.1,0,0.1
RZ1881,RM6,SOUTH 2,1007000,160728.4407,277184,0,0.1,0.04,18,70,44.6,478095,0.47,15105,0,0,0.1,0.1,0.1
RZ1882,RM7,NORTH,2079000,573306.7458,297786,45865,0.21,0.09,14,70,50.5,1083217,0.52,31185,0,0,0.1,0.1,0.1
RZ1934,RM8,NORTH,1116000,936715,87669,7500,0.11,0.1,32,70,34.5,1269813,1.14,16740,1.1,18414,0.1,0.2,0.1
RZ2202,RM9,WEST 2,700000,278660.4576,259104,17750,0.07,0.05,8,70,54.9,634055,0.91,10500,0.8,8400,0.1,0.1,0.1
RZ2220,RM10,SOUTH 2,700000,232317.3898,175927,17520,0.07,0.04,15,70,58.4,492604,0.7,10500,0.5,5250,0,0.1,0.1
RZ2274,RM11,EAST,1052000,640221,616159,940,0.11,0.13,22,70,100.4,1417845,1.35,15780,1.5,23670,0.2,0.2,0.2
RZ2286,RM12,EAST,755000,294715,335399,2441.666667,0.08,0.06,17,70,70.8,707455,0.94,11325,0.8,9060,0.1,0.1,0.1
RZ2451,RM13,EAST,950000,493532.8814,120566,25529,0.1,0.06,2,70,22.5,775776,0.82,14250,0.5,7125,0.1,0,0.1
RZ2608,RM14,NORTH,2308000,3307214.966,178310,0,0.23,0.35,25,70,40.7,4312329,1.87,34620,1.5,51930,0.4,0.2,0.5
RZ2612,RM15,NORTH,1094000,2426056.119,207815,1750,0.11,0.26,13,70,35.5,3243010,2.96,16410,1.5,24615,0.3,0.1,0.3
RZ2670,RM16,NORTH,1522000,386078.3559,533364,4800,0.15,0.09,10,70,76.1,1023162,0.67,22830,0,0,0.1,0.1,0.1
RZ2823,RM17,SOUTH 2,1272000,245259.9322,1411386,0,0.13,0.17,35,70,108,1717961,1.35,19080,1.5,28620,0.2,0.2,0.3
RZ2874,RM18,NORTH,701000,1454618,204729,32035,0.07,0.17,7,70,58.9,2071054,2.95,10515,1.5,15772.5,0.2,0,0.2
RZ2879,RM19,NORTH,2098000,483324.7288,1509184,34210,0.21,0.2,19,70,207.1,2164655,1.03,31470,1.1,34617,0.2,0.1,0.3
RZ2909,RM20,SOUTH 1,1736000,591159,25139,62875,0.17,0.06,5,70,8.7,858400,0.49,26040,0,0,0.1,0,0.1
RZ2932,RM21,NORTH,896000,3123775.017,261047,0,0.09,0.34,21,70,66,4165766,4.65,13440,1.5,20160,0.4,0.1,0.4
RZ2939,RM22,SOUTH 1,939000,336162,92216,7565,0.09,0.04,16,70,32.8,523766,0.56,14085,0,0,0.1,0.1,0.1
RZ2943,RM23,NORTH,2126000,1293021,19515,0,0.21,0.13,30,70,3,1635791,0.77,31890,0.5,15945,0.2,0.2,0.2
RZ2945,RM24,NORTH,1878000,1545544,176886,0,0.19,0.17,8,70,49.8,2108816,1.12,28170,1.1,30987,0.2,0.1,0.2
RZ2947,RM25,EAST,1144000,261609,610529,7650,0.11,0.09,12,70,128.5,949015,0.83,17160,0.5,8580,0.1,0.1,0.1
RZ2950,RM26,NORTH,2018000,2377725,197323,0,0.2,0.26,18,70,44.6,3169479,1.57,30270,1.5,45405,0.3,0.1,0.3
RZ2958,RM27,NORTH,1500000,1337370.746,297532,0,0.15,0.16,5,70,74.1,1969245,1.31,22500,1.5,33750,0.2,0,0.2
RZ2970,RM28,SOUTH 1,950000,684206.5932,132219,10420,0.1,0.08,34,70,92.9,1003107,1.06,14250,1.1,15675,0.1,0.2,0.1
RZ2972,RM29,NORTH,1676000,1819019,216613,590730,0.17,0.2,14,70,76.4,3376482,2.01,25140,1.5,37710,0.2,0.1,0.3
RZ2975,RM30,EAST,700000,142246,702747,1970,0.07,0.08,11,70,123.5,883510,1.26,10500,1.3,13650,0.1,0.1,0.1
RZ2976,RM31,NORTH,1947000,1055597.051,267065,1066.666667,0.19,0.13,20,70,49.5,1588161,0.82,29205,0.5,14602.5,0.2,0.1,0.2
RZ2977,RM32,NORTH,1218000,1638410,98514,0,0.12,0.17,26,70,32.6,2146527,1.76,18270,1.5,27405,0.2,0.2,0.2
RZ2981,RM33,SOUTH 2,1257000,632549.9322,323523,0,0.13,0.1,17,70,109.8,1114210,0.89,18855,0.8,15084,0.1,0.1,0.1
RZ2982,RM34,SOUTH 2,959000,213499.0169,684989,0,0.1,0.09,20,70,90.7,951863,0.99,14385,0.8,11508,0.1,0.1,0.1
RZ2986,RM35,SOUTH 1,827000,507885.2542,17065,340,0.08,0.05,4,70,16.3,652432,0.79,12405,0.5,6202.5,0.1,0,0.1
RZ2989,RM36,SOUTH 2,1599000,267229.8644,434498,3655,0.16,0.07,9,70,68.6,774018,0.48,23985,0,0,0.1,0.1,0.1
RZ2992,RM37,NORTH,700000,526934.1695,154308,9000,0.07,0.07,29,70,37.9,826476,1.18,10500,1.3,13650,0.1,0.2,0.1
RZ3008,RM38,NORTH,2147000,906570.9661,319650,142293.3333,0.21,0.12,13,70,85.2,1666304,0.78,32205,0.5,16102.5,0.1,0.1,0.2
RZ3019,RM39,SOUTH 1,2782000,775655.4746,862221,25910,0.28,0.16,36,70,83.5,1870655,0.67,41730,0,0,0.2,0.2,0.2
RZ3021,RM40,NORTH,1460000,25531,54263,0,0.15,0.01,21,70,0,86177,0.06,21900,0,0,0,0.1,0
RZ3027,RM41,SOUTH 1,1297000,329308.3898,104486,0,0.13,0.04,6,70,29,516121,0.4,19455,0,0,0.1,0,0.1
RZ3049,RM42,SOUTH 2,991000,627106.6949,19350,0,0.1,0.06,33,70,16.3,803233,0.81,14865,0.5,7432.5,0.1,0.2,0.1
RZ3064,RM43,WEST 1,1529000,286498.0169,288395,6000,0.15,0.06,10,70,64.5,655518,0.43,22935,0,0,0.1,0.1,0.1
RZ3077,RM44,SOUTH 1,901000,416655.339,62278,149816.6667,0.09,0.05,12,70,22.5,807822,0.9,13515,0.8,10812,0.1,0.1,0.1
RZ3081,RM45,EAST,700000,114771.9661,579734,2260,0.07,0.07,25,70,86.8,726589,1.04,10500,1.1,11550,0.1,0.2,0.1
RZ3082,RM46,SOUTH 2,1230000,575197.678,42945,111645,0.12,0.06,11,70,38.1,929410,0.76,18450,0.5,9225,0.1,0.1,0.1
RZ3090,RM47,SOUTH 2,1264000,943562.7288,650593,10475,0.13,0.16,22,70,68.2,1845759,1.46,18960,1.5,28440,0.2,0.2,0.2
RZ3116,RM48,SOUTH 1,1299000,112052.0339,525958,13450,0.13,0.06,3,70,71.3,686198,0.53,19485,0,0,0.1,0,0.1
RZ3137,RM49,EAST,806000,724016,21745,0,0.08,0.07,18,70,23.2,926765,1.15,12090,1.1,13299,0.1,0.1,0.1
RZ3141,RM50,NORTH,1527000,150907.4407,363955,21600,0.15,0.05,31,70,84.4,584989,0.38,22905,0,0,0.1,0.2,0.1
RZ3144,RM51,EAST,1188000,328470,460940,9860,0.12,0.08,15,70,68.1,886318,0.75,17820,0.5,8910,0.1,0.1,0.1
RZ3147,RM52,SOUTH 2,1080000,625954.1186,18991,10375,0.11,0.06,17,70,18.3,816996,0.76,16200,0.5,8100,0.1,0.1,0.1
RZ3151,RM53,EAST,700000,427722,914496,600,0.07,0.13,13,70,106.3,1450049,2.07,10500,1.5,15750,0.2,0.1,0.2
RZ3169,RM54,EAST,759000,189235,1119411,32460,0.08,0.13,7,70,107.4,1404645,1.85,11385,1.5,17077.5,0.2,0,0.2
RZ3193,RM55,NORTH,1936000,282370.0847,551138,0,0.19,0.08,26,70,78.8,904101,0.47,29040,0,0,0.1,0.2,0.1
RZ3200,RM56,NORTH,1346000,546954.2373,487831,27599,0.13,0.1,10,70,99.5,1212922,0.9,20190,0.8,16152,0.1,0.1,0.1
RZ3250,RM57,WEST 1,1388000,465433.8136,1221091,0,0.14,0.17,32,70,185.6,1802883,1.3,20820,1.3,27066,0.2,0.2,0.3
RZ3290,RM58,SOUTH 1,928000,137515,216421,0,0.09,0.04,6,70,56.3,388315,0.42,13920,0,0,0,0,0
RZ3355,RM59,EAST,945000,269791,413599,13135,0.09,0.07,21,70,64.3,770540,0.82,14175,0.5,7087.5,0.1,0.1,0.1
RZ3423,RM60,EAST,700000,250088,315402,23130,0.07,0.06,22,70,82.6,662707,0.95,10500,0.8,8400,0.1,0.2,0.1
RZ3451,RM61,SOUTH 2,1836000,393707.9661,829526,0,0.18,0.12,22,70,78,1321661,0.72,27540,0.5,13770,0.1,0.2,0.2
RZ3455,RM62,SOUTH 1,2308000,248118.1525,535528,0,0.23,0.08,28,70,83.6,845676,0.37,34620,0,0,0.1,0.2,0.1
RZ3463,RM63,NORTH,1707000,113946.9153,377017.33,8920,0.17,0.05,15,70,64,532831,0.31,25605,0,0,0.1,0.1,0.1
